trans_x	trans_y	trans_z	rot_x	rot_y	rot_z
0.079733	0.227869	0.134190	-0.031394	0.124131	0.190235
-0.578204	-0.021579	0.007766	0.180419	0.100955	-0.077285
0.116200	-0.110242	0.029311	-0.353414	0.233861	-0.160344
0.179843	0.074168	0.002819	-0.084595	0.011907	0.016493
0.126480	-0.417872	0.120172	0.031705	-0.100842	-0.342728
-0.134142	-0.107270	0.051097	-0.038561	-0.120843	-0.031652
-0.146171	0.090024	-0.082183	0.650813	0.089968	0.047593
0.083042	-0.003181	0.109511	0.019831	0.050344	0.152048
-0.270905	-0.235721	0.100739	0.023904	0.078426	0.024198
0.085117	-0.060925	0.163060	0.218106	-0.395394	-0.076338
-0.474720	-0.252336	0.113377	0.209136	0.198408	0.164468
0.113720	0.419732	0.161061	-0.143628	-0.237414	-0.368774
-0.127977	0.437783	0.169764	-0.172652	-0.023988	0.272605
-0.195850	-0.371634	-0.053093	0.006844	-0.005578	0.084136
-0.066534	-0.127650	-0.379707	-0.114895	-0.130110	0.080821
0.084026	-0.415814	-0.086339	0.003142	0.109149	0.117163
-0.261417	-0.132769	-0.336955	0.268506	-0.184135	-0.326016
0.086949	-0.150705	0.127116	-0.033306	0.168552	0.210327
0.102875	0.049477	-0.009210	0.076464	0.306285	-0.307615
0.098301	0.052804	0.209271	-0.036591	0.024889	-0.050208
-0.132384	-0.221755	-0.297108	0.151525	0.386812	0.112901
0.010534	-0.053476	-0.208906	-0.475940	-0.233338	-0.018540
0.021188	0.116954	0.186056	0.061503	-0.323357	-0.077952
-0.015808	-0.288352	-0.184275	-0.153779	-0.210140	0.090387
0.007480	0.165755	0.066398	0.052016	0.018098	-0.100750
-0.229068	0.098079	-0.133195	-0.023721	-0.170119	-0.264322
0.021554	-0.151406	0.326789	-0.180944	-0.194637	0.292505
-0.114063	0.085043	0.104492	-0.267309	-0.248508	-0.034501
-0.061890	0.112358	0.202361	-0.291607	-0.114497	0.061399
-0.009894	-0.116767	-0.083541	-0.029769	-0.302215	-0.163517
-0.185831	-0.252254	-0.100714	-0.071352	-0.255577	0.164418
0.244338	-0.208174	-0.172179	-0.160169	0.120474	-0.134658
-0.095410	0.130625	-0.068474	0.008014	0.174505	0.363837
0.017114	-0.017340	-0.023027	-0.078415	0.123584	0.102412
0.110581	-0.193282	-0.052907	-0.177743	0.071756	0.011669
-0.082539	-0.249767	-0.155656	-0.007433	-0.027811	0.230624
-0.277639	-0.189658	0.315065	-0.166826	-0.174085	-0.374878
-0.040783	-0.306793	0.172180	-0.036514	0.024780	-0.300906
0.209264	0.171729	0.065805	-0.149578	0.028367	-0.443247
0.076277	-0.080269	-0.131782	-0.151597	-0.160931	0.337997
-0.014864	-0.140702	0.075129	-0.300804	-0.109002	-0.020054
-0.070073	-0.015900	-0.080810	0.236530	-0.188444	0.047087
0.094350	0.002765	0.037502	-0.222694	-0.081092	0.225527
