roi_1	roi_2	roi_3	roi_4	roi_5	roi_6	roi_7	roi_8	roi_9	roi_10	roi_11	roi_12	roi_13	roi_14	roi_15	roi_16	roi_17
-1.140675	0.141290	-0.209434	-0.091596	-0.003960	0.051791	0.134869	0.242234	0.383501	0.093272	0.256507	-0.321309	-0.026301	0.137961	0.095098	-0.198171	0.861725
-0.754009	0.720342	0.120738	0.304889	-0.259310	0.087080	0.180597	0.288010	0.469608	0.082499	0.274673	-1.259512	-0.150044	0.582680	0.168530	0.043646	0.723055
-0.396819	0.529309	0.046645	0.846236	-0.369430	-0.169234	-0.037423	0.411424	0.205035	-0.014396	0.257840	-1.107464	0.130961	0.749973	0.178296	-0.312326	0.894528
-0.398725	0.119460	-0.291394	0.283144	-0.766691	0.158207	-0.687816	0.759343	0.219474	0.046422	0.383202	-1.007894	0.815021	0.563468	0.104731	-0.055316	0.069434
-0.391707	-0.000540	0.526223	0.764323	-0.891047	-0.792426	-0.329458	0.751337	0.407627	0.140680	0.183461	-1.187072	0.353463	0.008885	0.264381	1.101174	-0.400318
-0.180811	0.071440	1.163310	0.670134	-0.110828	-0.797263	-0.068844	0.264187	0.105150	-0.227637	0.506662	-0.834678	0.335661	0.094516	0.055511	0.776095	-0.127372
-0.111576	-0.036238	0.710169	0.457885	-0.320923	-0.537933	0.536109	0.014320	-0.150375	-0.416566	0.027821	-0.460489	-0.286215	-0.135670	0.123622	0.356015	0.024276
-0.262804	-0.372937	0.356314	0.179259	-0.172403	-0.665754	0.386376	-0.533672	-0.758903	-0.049383	0.037789	-0.708159	0.408631	0.015668	-0.179347	0.122665	0.077674
-0.204373	-0.621025	0.187329	0.069009	0.012919	-0.757937	0.461889	-0.763941	-0.603545	0.034002	0.039187	-0.442432	-0.328476	-0.127279	0.490867	0.130759	-0.490813
-0.296794	-0.256669	0.446454	-0.155222	0.460243	-1.225574	0.437352	-0.646278	-1.038598	0.082410	-0.316628	-0.275384	-0.536048	-0.032415	1.084534	-0.196017	-0.305281
-0.077756	0.437320	0.601870	-0.041961	0.585018	-0.740569	0.075526	-0.614938	-0.765077	0.344924	-0.447663	-0.553793	0.280319	0.291407	0.651636	-0.080776	-0.031276
-0.297931	0.646082	1.104011	0.162789	-0.615252	-0.312539	-0.163288	-0.896192	-0.174135	0.362806	-0.745465	-0.970457	-0.173389	0.298980	0.930620	-0.247273	0.535914
-0.161566	-0.029521	0.852747	-0.364392	-0.120978	-0.379555	-0.256220	-0.296545	-0.127867	0.837105	-0.523612	-1.276123	0.062082	-0.450614	0.886637	0.227923	0.300619
-0.174410	-0.144245	0.381164	-0.706081	0.297848	-0.537777	0.567292	0.289267	0.746327	0.333202	-0.001977	-0.706799	-0.134463	-0.670334	0.816296	0.399787	0.646464
-0.335008	-0.108552	0.083998	-0.725679	0.160233	-0.534204	0.042135	0.105199	0.439902	0.405493	0.133021	-0.545737	-0.257593	-0.740671	0.657142	0.950798	0.171410
-0.118908	-0.537285	0.441434	-0.527221	0.461889	-0.626108	-0.290023	0.031890	0.692780	0.457691	0.081637	-0.881980	-0.347311	-1.254004	0.526345	0.744550	0.471823
0.033762	-0.242102	0.056783	-0.489079	-0.390485	-0.259848	-0.224105	-0.596698	0.773292	-0.023791	0.861847	-0.780929	-0.457055	-0.936330	0.827737	0.501865	0.415011
0.614095	0.009835	0.037006	-0.162820	-0.930244	-0.113190	-0.024224	-0.955436	0.822869	-0.097327	0.782173	-0.432675	-0.355503	-0.381594	0.710769	0.297453	0.210030
0.184640	0.414634	0.047446	-0.715960	-0.729024	-0.281382	0.069852	-1.154374	0.540647	-0.200250	0.812717	-0.999437	-0.141655	0.469062	0.833369	0.219626	-0.968850
0.525982	0.182403	0.266654	0.123855	-0.871056	-0.175879	-0.032667	-0.895892	0.519750	-0.191186	0.441277	-1.245317	-0.379467	-0.553297	0.063435	0.441428	-0.973008
-0.233922	-0.323379	0.842761	0.839657	-0.586349	-0.206877	-0.067202	-0.614686	0.741412	-0.200341	0.190534	-0.154746	0.274390	-0.622508	-0.223481	0.000874	-0.738519
-0.810442	-0.147919	0.890739	0.651945	-0.253307	-0.190640	-0.643886	-0.313672	0.323842	0.250512	-0.125299	-0.067183	0.228386	-0.648183	-0.235178	-0.325783	-0.381191
-0.651848	-0.462825	1.180235	0.564169	-0.355077	0.350701	-0.477296	-0.308317	0.033018	0.729809	-0.153734	-0.176885	0.357642	-0.932687	0.147262	-0.451853	-0.347722
-0.103042	0.100845	0.111554	-0.249685	0.266031	0.458479	-0.541678	-0.279474	-0.137739	1.244295	0.359046	0.253284	-0.550191	-0.764640	-0.033649	-0.624255	-0.623452
0.094706	-0.513590	0.664089	-0.204746	-0.370244	0.448706	-0.095098	-1.013508	-0.056809	0.808118	0.072614	-0.228936	-0.046497	-0.183798	0.193349	-0.556034	-0.505030
0.589256	-0.307492	-0.223016	-0.345031	-0.275887	-0.001233	0.387328	-0.783390	0.181719	-0.412979	0.186752	0.247678	-0.290882	-0.187708	-0.178489	-0.186730	-0.737248
0.694464	-0.546673	-0.747718	0.037687	-0.152657	0.101544	0.336239	-0.687151	0.583155	-0.182032	0.143753	0.472630	-0.828808	-0.976068	0.430770	0.212370	-0.258179
0.276456	-0.078786	-0.349330	-0.367426	-0.138379	-0.038587	0.025613	0.602037	0.621548	0.215395	0.266545	0.015359	-0.938840	-0.549218	0.338178	-0.099553	0.043519
0.528994	0.257688	-0.062084	0.062088	-0.165628	0.324633	0.465890	0.064241	0.125453	-0.029032	-0.446110	0.644698	-0.245521	-0.141798	0.540415	0.312336	-0.277189
0.022625	0.352976	0.348911	-0.127063	-0.141341	0.565015	0.413648	0.369151	0.583114	0.031768	-0.307012	0.689425	-0.364666	-0.004059	0.288373	0.456141	-0.067994
